E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
,,,,,,0.27,0.074,0.27,0.081,0.394,0.078,0.394,0.086,,,,,,,,,,,,
,,,,,,0.27,0.077,0.27,0.078,0.394,0.089,0.394,0.08,,,,,,,,,,,,
,,,,,,0.27,0.081,0.27,0.077,0.395,0.065,0.395,0.08,,,,,,,,,,,,
,,,,,,0.27,0.084,0.27,0.075,0.395,0.081,0.395,0.065,,,,,,,,,,,,
,,,,,,0.271,0.078,0.271,0.068,0.396,0.068,0.396,0.066,,,,,,,,,,,,
,,,,,,0.271,0.08,0.271,0.083,0.396,0.081,0.396,0.086,,,,,,,,,,,,
,,,,,,0.271,0.075,0.271,0.071,0.396,0.063,0.396,0.058,,,,,,,,,,,,
,,,,,,0.271,0.077,0.271,0.066,0.397,0.072,0.397,0.072,,,,,,,,,,,,
,,,,,,0.272,0.075,0.272,0.075,0.397,0.068,0.397,0.08,,,,,,,,,,,,
,,,,,,0.272,0.08,0.272,0.071,0.397,0.063,0.397,0.075,,,,,,,,,,,,
,,,,,,0.272,0.081,0.272,0.077,0.398,0.081,0.398,0.065,,,,,,,,,,,,
,,,,,,0.272,0.081,0.272,0.071,0.398,0.077,0.398,0.068,,,,,,,,,,,,
,,,,,,0.273,0.08,0.273,0.074,0.399,0.072,0.399,0.084,,,,,,,,,,,,
,,,,,,0.273,0.08,0.273,0.068,0.399,0.083,0.399,0.061,,,,,,,,,,,,
,,,,,,0.273,0.077,0.273,0.074,0.399,0.068,0.399,0.061,,,,,,,,,,,,
,,,,,,0.273,0.084,0.273,0.069,0.4,0.074,0.4,0.075,,,,,,,,,,,,
,,,,,,0.274,0.098,0.274,0.072,0.4,0.068,0.4,0.072,,,,,,,,,,,,
,,,,,,0.274,0.081,0.274,0.072,0.4,0.068,0.4,0.06,,,,,,,,,,,,
,,,,,,0.274,0.077,0.274,0.068,0.401,0.081,0.401,0.069,,,,,,,,,,,,
,,,,,,0.274,0.068,0.274,0.068,0.401,0.061,0.401,0.066,,,,,,,,,,,,
,,,,,,0.275,0.074,0.275,0.069,0.402,0.084,0.402,0.068,,,,,,,,,,,,
,,,,,,0.275,0.077,0.275,0.074,0.402,0.074,0.402,0.071,,,,,,,,,,,,
,,,,,,0.275,0.077,0.275,0.081,0.402,0.074,0.402,0.069,,,,,,,,,,,,
,,,,,,0.275,0.074,0.275,0.068,0.403,0.077,0.403,0.063,,,,,,,,,,,,
,,,,,,0.276,0.065,0.276,0.071,0.403,0.077,0.403,0.074,,,,,,,,,,,,
,,,,,,0.276,0.071,0.276,0.065,0.403,0.068,0.403,0.06,,,,,,,,,,,,
,,,,,,0.276,0.077,0.276,0.071,0.404,0.077,0.404,0.081,,,,,,,,,,,,
,,,,,,0.276,0.084,0.276,0.066,0.404,0.075,0.404,0.069,,,,,,,,,,,,
,,,,,,0.277,0.069,0.277,0.074,0.405,0.063,0.405,0.065,,,,,,,,,,,,
,,,,,,0.277,0.078,0.277,0.068,0.405,0.077,0.405,0.069,,,,,,,,,,,,
,,,,,,0.277,0.077,0.277,0.072,0.405,0.063,0.405,0.061,,,,,,,,,,,,
,,,,,,0.277,0.08,0.277,0.072,0.406,0.071,0.406,0.078,,,,,,,,,,,,
,,,,,,0.278,0.074,0.278,0.072,0.406,0.086,0.406,0.072,,,,,,,,,,,,
,,,,,,0.278,0.077,0.278,0.065,0.406,0.06,0.406,0.058,,,,,,,,,,,,
,,,,,,0.278,0.075,0.278,0.074,0.407,0.071,0.407,0.08,,,,,,,,,,,,
,,,,,,0.278,0.071,0.278,0.072,0.407,0.101,0.407,0.065,,,,,,,,,,,,
,,,,,,0.279,0.074,0.279,0.071,0.407,0.065,0.407,0.078,,,,,,,,,,,,
,,,,,,0.279,0.072,0.279,0.066,0.408,0.072,0.408,0.063,,,,,,,,,,,,
,,,,,,0.279,0.084,0.279,0.084,0.408,0.052,0.408,0.051,,,,,,,,,,,,
,,,,,,0.279,0.063,0.279,0.068,0.409,0.072,0.409,0.075,,,,,,,,,,,,
,,,,,,0.28,0.075,0.28,0.068,0.409,0.069,0.409,0.077,,,,,,,,,,,,
,,,,,,0.28,0.083,0.28,0.071,0.409,0.06,0.409,0.065,,,,,,,,,,,,
,,,,,,0.28,0.078,0.28,0.078,0.41,0.072,0.41,0.071,,,,,,,,,,,,
,,,,,,0.28,0.072,0.28,0.055,0.41,0.068,0.41,0.089,,,,,,,,,,,,
,,,,,,0.281,0.071,0.281,0.071,0.41,0.065,0.41,0.065,,,,,,,,,,,,
,,,,,,0.281,0.077,0.281,0.063,0.411,0.072,0.411,0.077,,,,,,,,,,,,
,,,,,,0.281,0.071,0.281,0.068,0.411,0.06,0.411,0.075,,,,,,,,,,,,
,,,,,,0.281,0.077,0.281,0.08,0.412,0.074,0.412,0.063,,,,,,,,,,,,
,,,,,,0.281,0.08,0.281,0.071,0.412,0.061,0.412,0.075,,,,,,,,,,,,
,,,,,,0.282,0.077,0.282,0.078,0.412,0.072,0.412,0.063,,,,,,,,,,,,
,,,,,,0.282,0.065,0.282,0.075,0.413,0.058,0.413,0.077,,,,,,,,,,,,
,,,,,,0.282,0.071,0.282,0.061,0.413,0.089,0.413,0.078,,,,,,,,,,,,
,,,,,,0.282,0.072,0.282,0.077,0.413,0.066,0.413,0.074,,,,,,,,,,,,
,,,,,,0.283,0.078,0.283,0.065,0.414,0.074,0.414,0.054,,,,,,,,,,,,
,,,,,,0.283,0.077,0.283,0.075,0.414,0.069,0.414,0.08,,,,,,,,,,,,
,,,,,,0.283,0.077,0.283,0.08,0.415,0.063,0.415,0.077,,,,,,,,,,,,
,,,,,,0.283,0.083,0.283,0.071,0.415,0.078,0.415,0.06,,,,,,,,,,,,
,,,,,,0.284,0.075,0.284,0.069,0.415,0.074,0.415,0.054,,,,,,,,,,,,
,,,,,,0.284,0.081,0.284,0.071,0.416,0.063,0.416,0.065,,,,,,,,,,,,
,,,,,,0.284,0.065,0.284,0.065,0.416,0.074,0.416,0.078,,,,,,,,,,,,
,,,,,,0.284,0.078,0.284,0.051,0.416,0.074,0.416,0.06,,,,,,,,,,,,
,,,,,,0.285,0.075,0.285,0.071,0.417,0.061,0.417,0.057,,,,,,,,,,,,
,,,,,,0.285,0.072,0.285,0.065,0.417,0.061,0.417,0.08,,,,,,,,,,,,
,,,,,,0.285,0.078,0.285,0.069,0.418,0.075,0.418,0.063,,,,,,,,,,,,
,,,,,,0.285,0.074,0.285,0.071,0.418,0.065,0.418,0.052,,,,,,,,,,,,
,,,,,,0.286,0.075,0.286,0.077,0.418,0.069,0.418,0.08,,,,,,,,,,,,
,,,,,,0.286,0.077,0.286,0.065,0.419,0.071,0.419,0.052,,,,,,,,,,,,
,,,,,,0.286,0.081,0.286,0.071,0.419,0.058,0.419,0.068,,,,,,,,,,,,
,,,,,,0.286,0.065,0.286,0.069,0.419,0.071,0.419,0.058,,,,,,,,,,,,
,,,,,,0.287,0.075,0.287,0.071,0.42,0.072,0.42,0.06,,,,,,,,,,,,
,,,,,,0.287,0.074,0.287,0.071,0.42,0.048,0.42,0.068,,,,,,,,,,,,
,,,,,,0.287,0.095,0.287,0.075,0.421,0.074,0.421,0.065,,,,,,,,,,,,
,,,,,,0.287,0.068,0.287,0.078,0.421,0.06,0.421,0.077,,,,,,,,,,,,
,,,,,,0.288,0.069,0.288,0.08,0.421,0.068,0.421,0.077,,,,,,,,,,,,
,,,,,,0.288,0.071,0.288,0.077,0.422,0.072,0.422,0.051,,,,,,,,,,,,
,,,,,,0.288,0.081,0.288,0.072,0.422,0.065,0.422,0.069,,,,,,,,,,,,
,,,,,,0.288,0.077,0.288,0.077,0.422,0.071,0.422,0.061,,,,,,,,,,,,
,,,,,,0.289,0.072,0.289,0.074,0.423,0.077,0.423,0.051,,,,,,,,,,,,
,,,,,,0.289,0.071,0.289,0.086,0.423,0.075,0.423,0.075,,,,,,,,,,,,
,,,,,,0.289,0.074,0.289,0.069,0.424,0.055,0.424,0.075,,,,,,,,,,,,
,,,,,,0.289,0.071,0.289,0.075,0.424,0.074,0.424,0.075,,,,,,,,,,,,
,,,,,,0.29,0.071,0.29,0.077,0.424,0.055,0.424,0.068,,,,,,,,,,,,
,,,,,,0.29,0.08,0.29,0.088,0.425,0.057,0.425,0.069,,,,,,,,,,,,
,,,,,,0.29,0.077,0.29,0.072,0.425,0.077,0.425,0.074,,,,,,,,,,,,
,,,,,,0.29,0.071,0.29,0.078,0.425,0.068,0.425,0.071,,,,,,,,,,,,
,,,,,,0.291,0.084,0.291,0.074,0.426,0.061,0.426,0.06,,,,,,,,,,,,
,,,,,,0.291,0.077,0.291,0.078,0.426,0.072,0.426,0.071,,,,,,,,,,,,
,,,,,,0.291,0.083,0.291,0.071,0.427,0.054,0.427,0.065,,,,,,,,,,,,
,,,,,,0.291,0.081,0.291,0.078,0.427,0.063,0.427,0.069,,,,,,,,,,,,
,,,,,,0.292,0.075,0.292,0.08,0.427,0.054,0.427,0.074,,,,,,,,,,,,
,,,,,,0.292,0.071,0.292,0.074,0.428,0.061,0.428,0.068,,,,,,,,,,,,
,,,,,,0.292,0.078,0.292,0.078,0.428,0.066,0.428,0.074,,,,,,,,,,,,
,,,,,,0.292,0.065,0.292,0.068,0.428,0.046,0.428,0.074,,,,,,,,,,,,
,,,,,,0.293,0.072,0.293,0.081,0.429,0.06,0.429,0.066,,,,,,,,,,,,
,,,,,,0.293,0.081,0.293,0.069,0.429,0.063,0.429,0.06,,,,,,,,,,,,
,,,,,,0.293,0.077,0.293,0.078,0.43,0.074,0.43,0.066,,,,,,,,,,,,
,,,,,,0.293,0.077,0.293,0.072,0.43,0.063,0.43,0.061,,,,,,,,,,,,
,,,,,,0.294,0.074,0.294,0.072,0.43,0.061,0.43,0.058,,,,,,,,,,,,
,,,,,,0.294,0.074,0.294,0.08,0.431,0.071,0.431,0.074,,,,,,,,,,,,
,,,,,,0.294,0.081,0.294,0.072,0.431,0.045,0.431,0.06,,,,,,,,,,,,
,,,,,,0.294,0.077,0.294,0.075,0.431,0.069,0.431,0.071,,,,,,,,,,,,
,,,,,,0.295,0.077,0.295,0.081,0.432,0.083,0.432,0.048,,,,,,,,,,,,
,,,,,,0.295,0.074,0.295,0.086,0.432,0.069,0.432,0.069,,,,,,,,,,,,
,,,,,,0.295,0.077,0.295,0.083,0.433,0.069,0.433,0.055,,,,,,,,,,,,
,,,,,,0.295,0.072,0.295,0.083,0.433,0.072,0.433,0.069,,,,,,,,,,,,
,,,,,,0.296,0.075,0.296,0.068,0.433,0.049,0.433,0.061,,,,,,,,,,,,
,,,,,,0.296,0.077,0.296,0.084,0.434,0.065,0.434,0.057,,,,,,,,,,,,
,,,,,,0.296,0.091,0.296,0.075,0.434,0.077,0.434,0.075,,,,,,,,,,,,
,,,,,,0.296,0.078,0.296,0.089,0.434,0.061,0.434,0.069,,,,,,,,,,,,
,,,,,,0.297,0.086,0.297,0.08,0.435,0.048,0.435,0.071,,,,,,,,,,,,
,,,,,,0.297,0.084,0.297,0.077,0.435,0.068,0.435,0.074,,,,,,,,,,,,
,,,,,,0.297,0.088,0.297,0.084,0.436,0.058,0.436,0.057,,,,,,,,,,,,
,,,,,,0.297,0.086,0.297,0.075,0.436,0.075,0.436,0.068,,,,,,,,,,,,
,,,,,,0.298,0.084,0.298,0.088,0.436,0.071,0.436,0.074,,,,,,,,,,,,
,,,,,,0.298,0.081,0.298,0.086,0.437,0.058,0.437,0.066,,,,,,,,,,,,
,,,,,,0.298,0.089,0.298,0.084,0.437,0.072,0.437,0.071,,,,,,,,,,,,
,,,,,,0.298,0.077,0.298,0.08,0.438,0.058,0.438,0.066,,,,,,,,,,,,
,,,,,,0.299,0.081,0.299,0.078,0.438,0.049,0.438,0.063,,,,,,,,,,,,
,,,,,,0.299,0.12,0.299,0.1,0.438,0.055,0.438,0.072,,,,,,,,,,,,
,,,,,,0.299,0.091,0.299,0.08,0.439,0.078,0.439,0.058,,,,,,,,,,,,
,,,,,,0.299,0.083,0.299,0.086,0.439,0.065,0.439,0.061,,,,,,,,,,,,
,,,,,,0.3,0.08,0.3,0.08,0.439,0.072,0.439,0.071,,,,,,,,,,,,
,,,,,,0.3,0.088,0.3,0.086,0.44,0.077,0.44,0.072,,,,,,,,,,,,
,,,,,,0.3,0.092,0.3,0.089,0.44,0.046,0.44,0.051,,,,,,,,,,,,
,,,,,,0.3,0.089,0.3,0.086,0.441,0.065,0.441,0.068,,,,,,,,,,,,
,,,,,,0.301,0.086,0.301,0.088,0.441,0.058,0.441,0.068,,,,,,,,,,,,
,,,,,,0.301,0.08,0.301,0.094,0.441,0.06,0.441,0.068,,,,,,,,,,,,
,,,,,,0.301,0.097,0.301,0.078,0.442,0.048,0.442,0.063,,,,,,,,,,,,
,,,,,,0.301,0.088,0.301,0.088,0.442,0.075,0.442,0.081,,,,,,,,,,,,
,,,,,,0.302,0.084,0.302,0.088,0.442,0.072,0.442,0.063,,,,,,,,,,,,
,,,,,,0.302,0.083,0.302,0.091,0.443,0.077,0.443,0.057,,,,,,,,,,,,
,,,,,,0.302,0.08,0.302,0.092,0.443,0.055,0.443,0.069,,,,,,,,,,,,
,,,,,,0.302,0.083,0.302,0.092,0.444,0.066,0.444,0.069,,,,,,,,,,,,
,,,,,,0.303,0.092,0.303,0.081,0.444,0.063,0.444,0.051,,,,,,,,,,,,
,,,,,,0.303,0.083,0.303,0.094,0.444,0.055,0.444,0.065,,,,,,,,,,,,
,,,,,,0.303,0.092,0.303,0.094,0.445,0.051,0.445,0.069,,,,,,,,,,,,
,,,,,,0.303,0.081,0.303,0.089,0.445,0.057,0.445,0.061,,,,,,,,,,,,
,,,,,,0.304,0.089,0.304,0.097,0.445,0.071,0.445,0.063,,,,,,,,,,,,
,,,,,,0.304,0.095,0.304,0.095,0.446,0.06,0.446,0.071,,,,,,,,,,,,
,,,,,,0.304,0.086,0.304,0.089,0.446,0.057,0.446,0.06,,,,,,,,,,,,
,,,,,,0.304,0.094,0.304,0.101,0.447,0.061,0.447,0.06,,,,,,,,,,,,
,,,,,,0.305,0.088,0.305,0.094,0.447,0.061,0.447,0.081,,,,,,,,,,,,
,,,,,,0.305,0.097,0.305,0.097,0.447,0.052,0.447,0.057,,,,,,,,,,,,
,,,,,,0.305,0.1,0.305,0.088,0.448,0.068,0.448,0.081,,,,,,,,,,,,
,,,,,,0.305,0.083,0.305,0.089,0.448,0.083,0.448,0.06,,,,,,,,,,,,
,,,,,,0.306,0.092,0.306,0.089,0.448,0.052,0.448,0.074,,,,,,,,,,,,
,,,,,,0.306,0.1,0.306,0.095,0.449,0.063,0.449,0.071,,,,,,,,,,,,
,,,,,,0.306,0.1,0.306,0.107,0.449,0.066,0.449,0.049,,,,,,,,,,,,
,,,,,,0.306,0.097,0.306,0.1,0.45,0.068,0.45,0.065,,,,,,,,,,,,
,,,,,,0.307,0.1,0.307,0.104,0.45,0.071,0.45,0.043,,,,,,,,,,,,
,,,,,,0.307,0.114,0.307,0.094,0.45,0.054,0.45,0.06,,,,,,,,,,,,
,,,,,,0.307,0.095,0.307,0.106,0.451,0.063,0.451,0.057,,,,,,,,,,,,
,,,,,,0.307,0.088,0.307,0.104,0.451,0.081,0.451,0.066,,,,,,,,,,,,
,,,,,,0.308,0.101,0.308,0.104,0.451,0.057,0.451,0.058,,,,,,,,,,,,
,,,,,,0.308,0.101,0.308,0.097,0.452,0.075,0.452,0.06,,,,,,,,,,,,
,,,,,,0.308,0.095,0.308,0.107,0.452,0.054,0.452,0.068,,,,,,,,,,,,
,,,,,,0.308,0.1,0.308,0.118,0.453,0.069,0.453,0.068,,,,,,,,,,,,
,,,,,,0.309,0.095,0.309,0.097,0.453,0.055,0.453,0.074,,,,,,,,,,,,
,,,,,,0.309,0.12,0.309,0.112,0.453,0.058,0.453,0.071,,,,,,,,,,,,
,,,,,,0.309,0.118,0.309,0.111,0.454,0.061,0.454,0.071,,,,,,,,,,,,
,,,,,,0.309,0.097,0.309,0.106,0.454,0.077,0.454,0.06,,,,,,,,,,,,
,,,,,,0.31,0.107,0.31,0.107,0.454,0.065,0.454,0.071,,,,,,,,,,,,
,,,,,,0.31,0.111,0.31,0.112,0.455,0.074,0.455,0.055,,,,,,,,,,,,
,,,,,,0.31,0.111,0.31,0.104,0.455,0.051,0.455,0.063,,,,,,,,,,,,
,,,,,,0.31,0.114,0.31,0.118,0.456,0.072,0.456,0.063,,,,,,,,,,,,
,,,,,,0.311,0.117,0.311,0.106,0.456,0.055,0.456,0.065,,,,,,,,,,,,
,,,,,,0.311,0.111,0.311,0.117,0.456,0.045,0.456,0.06,,,,,,,,,,,,
,,,,,,0.311,0.112,0.311,0.12,0.457,0.058,0.457,0.078,,,,,,,,,,,,
,,,,,,0.311,0.107,0.311,0.111,0.457,0.074,0.457,0.043,,,,,,,,,,,,
,,,,,,0.312,0.114,0.312,0.12,0.457,0.065,0.457,0.054,,,,,,,,,,,,
,,,,,,0.312,0.114,0.312,0.115,0.458,0.081,0.458,0.077,,,,,,,,,,,,
,,,,,,0.312,0.117,0.312,0.12,0.458,0.066,0.458,0.061,,,,,,,,,,,,
,,,,,,0.313,0.109,0.313,0.121,0.459,0.054,0.459,0.061,,,,,,,,,,,,
,,,,,,0.313,0.111,0.313,0.118,0.459,0.068,0.459,0.074,,,,,,,,,,,,
,,,,,,0.313,0.123,0.313,0.114,0.459,0.061,0.459,0.052,,,,,,,,,,,,
,,,,,,0.313,0.123,0.313,0.123,0.46,0.052,0.46,0.074,,,,,,,,,,,,
,,,,,,0.314,0.124,0.314,0.123,0.46,0.068,0.46,0.06,,,,,,,,,,,,
,,,,,,0.314,0.123,0.314,0.123,0.46,0.06,0.46,0.065,,,,,,,,,,,,
,,,,,,0.314,0.132,0.314,0.134,0.461,0.066,0.461,0.077,,,,,,,,,,,,
,,,,,,0.314,0.132,0.314,0.134,0.461,0.066,0.461,0.055,,,,,,,,,,,,
,,,,,,0.315,0.14,0.315,0.137,0.462,0.06,0.462,0.065,,,,,,,,,,,,
,,,,,,0.315,0.134,0.315,0.124,0.462,0.069,0.462,0.054,,,,,,,,,,,,
,,,,,,0.315,0.127,0.315,0.134,0.462,0.071,0.462,0.043,,,,,,,,,,,,
,,,,,,0.315,0.138,0.315,0.132,0.463,0.072,0.463,0.069,,,,,,,,,,,,
,,,,,,0.316,0.138,0.316,0.134,0.463,0.061,0.463,0.058,,,,,,,,,,,,
,,,,,,0.316,0.141,0.316,0.141,0.463,0.065,0.463,0.072,,,,,,,,,,,,
,,,,,,0.316,0.138,0.316,0.146,0.464,0.074,0.464,0.074,,,,,,,,,,,,
,,,,,,0.316,0.141,0.316,0.143,0.464,0.046,0.464,0.051,,,,,,,,,,,,
,,,,,,0.317,0.146,0.317,0.141,0.465,0.071,0.465,0.071,,,,,,,,,,,,
,,,,,,0.317,0.153,0.317,0.127,0.465,0.06,0.465,0.054,,,,,,,,,,,,
,,,,,,0.317,0.155,0.317,0.144,0.465,0.061,0.465,0.071,,,,,,,,,,,,
,,,,,,0.317,0.152,0.317,0.152,0.466,0.075,0.466,0.071,,,,,,,,,,,,
,,,,,,0.318,0.149,0.318,0.15,0.466,0.061,0.466,0.072,,,,,,,,,,,,
,,,,,,0.318,0.152,0.318,0.155,0.466,0.078,0.466,0.058,,,,,,,,,,,,
,,,,,,0.318,0.161,0.318,0.158,0.467,0.071,0.467,0.074,,,,,,,,,,,,
,,,,,,0.318,0.176,0.318,0.155,0.467,0.065,0.467,0.071,,,,,,,,,,,,
,,,,,,0.319,0.16,0.319,0.163,0.468,0.063,0.468,0.052,,,,,,,,,,,,
,,,,,,0.319,0.163,0.319,0.161,0.468,0.058,0.468,0.074,,,,,,,,,,,,
,,,,,,0.319,0.178,0.319,0.18,0.468,0.075,0.468,0.055,,,,,,,,,,,,
,,,,,,0.319,0.176,0.319,0.169,0.469,0.069,0.469,0.061,,,,,,,,,,,,
,,,,,,0.32,0.173,0.32,0.175,0.469,0.06,0.469,0.055,,,,,,,,,,,,
,,,,,,0.32,0.181,0.32,0.17,0.469,0.071,0.469,0.075,,,,,,,,,,,,
,,,,,,0.32,0.175,0.32,0.175,0.47,0.057,0.47,0.063,,,,,,,,,,,,
,,,,,,0.32,0.193,0.32,0.176,0.47,0.061,0.47,0.068,,,,,,,,,,,,
,,,,,,0.321,0.189,0.321,0.18,0.47,0.072,0.47,0.077,,,,,,,,,,,,
,,,,,,0.321,0.186,0.321,0.18,0.471,0.058,0.471,0.057,,,,,,,,,,,,
,,,,,,0.321,0.203,0.321,0.176,0.471,0.054,0.471,0.06,,,,,,,,,,,,
,,,,,,0.321,0.198,0.321,0.193,0.472,0.065,0.472,0.075,,,,,,,,,,,,
,,,,,,0.322,0.193,0.322,0.192,0.472,0.058,0.472,0.061,,,,,,,,,,,,
,,,,,,0.322,0.209,0.322,0.195,0.472,0.075,0.472,0.075,,,,,,,,,,,,
,,,,,,0.322,0.207,0.322,0.193,0.473,0.08,0.473,0.061,,,,,,,,,,,,
,,,,,,0.322,0.21,0.322,0.201,0.473,0.065,0.473,0.063,,,,,,,,,,,,
,,,,,,0.323,0.21,0.323,0.203,0.473,0.06,0.473,0.072,,,,,,,,,,,,
,,,,,,0.323,0.203,0.323,0.204,0.474,0.075,0.474,0.058,,,,,,,,,,,,
,,,,,,0.323,0.215,0.323,0.212,0.474,0.063,0.474,0.054,,,,,,,,,,,,
,,,,,,0.323,0.226,0.323,0.21,0.475,0.066,0.475,0.063,,,,,,,,,,,,
,,,,,,0.324,0.224,0.324,0.218,0.475,0.069,0.475,0.074,,,,,,,,,,,,
,,,,,,0.324,0.224,0.324,0.219,0.475,0.061,0.475,0.075,,,,,,,,,,,,
,,,,,,0.324,0.229,0.324,0.213,0.476,0.069,0.476,0.065,,,,,,,,,,,,
,,,,,,0.324,0.23,0.324,0.224,0.476,0.077,0.476,0.071,,,,,,,,,,,,
,,,,,,0.325,0.233,0.325,0.227,0.476,0.071,0.476,0.092,,,,,,,,,,,,
,,,,,,0.325,0.233,0.325,0.233,0.477,0.055,0.477,0.074,,,,,,,,,,,,
,,,,,,0.325,0.239,0.325,0.238,0.477,0.068,0.477,0.071,,,,,,,,,,,,
,,,,,,0.325,0.245,0.325,0.238,0.478,0.075,0.478,0.071,,,,,,,,,,,,
,,,,,,0.326,0.249,0.326,0.239,0.478,0.071,0.478,0.071,,,,,,,,,,,,
,,,,,,0.326,0.25,0.326,0.244,0.478,0.063,0.478,0.057,,,,,,,,,,,,
,,,,,,0.326,0.249,0.326,0.253,0.479,0.072,0.479,0.065,,,,,,,,,,,,
,,,,,,0.326,0.261,0.326,0.252,0.479,0.077,0.479,0.057,,,,,,,,,,,,
,,,,,,0.327,0.265,0.327,0.249,0.479,0.071,0.479,0.058,,,,,,,,,,,,
,,,,,,0.327,0.261,0.327,0.252,0.48,0.065,0.48,0.074,,,,,,,,,,,,
,,,,,,0.327,0.273,0.327,0.256,0.48,0.084,0.48,0.069,,,,,,,,,,,,
,,,,,,0.327,0.278,0.327,0.258,0.481,0.072,0.481,0.051,,,,,,,,,,,,
,,,,,,0.328,0.278,0.328,0.264,0.481,0.061,0.481,0.086,,,,,,,,,,,,
,,,,,,0.328,0.284,0.328,0.273,0.481,0.069,0.481,0.072,,,,,,,,,,,,
,,,,,,0.328,0.285,0.328,0.279,0.482,0.069,0.482,0.063,,,,,,,,,,,,
,,,,,,0.328,0.29,0.328,0.262,0.482,0.074,0.482,0.075,,,,,,,,,,,,
,,,,,,0.329,0.288,0.329,0.282,0.482,0.052,0.482,0.068,,,,,,,,,,,,
,,,,,,0.329,0.291,0.329,0.273,0.483,0.071,0.483,0.04,,,,,,,,,,,,
,,,,,,0.329,0.307,0.329,0.291,0.483,0.061,0.483,0.065,,,,,,,,,,,,
,,,,,,0.329,0.296,0.329,0.282,0.484,0.057,0.484,0.078,,,,,,,,,,,,
,,,,,,0.33,0.302,0.33,0.287,0.484,0.08,0.484,0.065,,,,,,,,,,,,
,,,,,,0.33,0.307,0.33,0.287,0.484,0.071,0.484,0.065,,,,,,,,,,,,
,,,,,,0.33,0.307,0.33,0.293,0.485,0.077,0.485,0.071,,,,,,,,,,,,
,,,,,,0.33,0.307,0.33,0.291,0.485,0.074,0.485,0.074,,,,,,,,,,,,
,,,,,,0.331,0.327,0.331,0.284,0.485,0.057,0.485,0.061,,,,,,,,,,,,
,,,,,,0.331,0.315,0.331,0.29,0.486,0.077,0.486,0.072,,,,,,,,,,,,
,,,,,,0.331,0.316,0.331,0.302,0.486,0.071,0.486,0.071,,,,,,,,,,,,
,,,,,,0.331,0.319,0.331,0.298,0.487,0.061,0.487,0.069,,,,,,,,,,,,
,,,,,,0.332,0.318,0.332,0.291,0.487,0.065,0.487,0.072,,,,,,,,,,,,
,,,,,,0.332,0.334,0.332,0.301,0.487,0.068,0.487,0.075,,,,,,,,,,,,
,,,,,,0.332,0.327,0.332,0.307,0.488,0.071,0.488,0.061,,,,,,,,,,,,
,,,,,,0.332,0.339,0.332,0.301,0.488,0.063,0.488,0.065,,,,,,,,,,,,
,,,,,,0.333,0.331,0.333,0.298,0.488,0.081,0.488,0.074,,,,,,,,,,,,
,,,,,,0.333,0.328,0.333,0.293,0.489,0.069,0.489,0.075,,,,,,,,,,,,
,,,,,,0.333,0.324,0.333,0.291,0.489,0.075,0.489,0.081,,,,,,,,,,,,
,,,,,,0.333,0.339,0.333,0.291,0.49,0.077,0.49,0.069,,,,,,,,,,,,
,,,,,,0.334,0.328,0.334,0.299,0.49,0.084,0.49,0.077,,,,,,,,,,,,
,,,,,,0.334,0.328,0.334,0.293,0.49,0.071,0.49,0.068,,,,,,,,,,,,
,,,,,,0.334,0.328,0.334,0.282,0.491,0.074,0.491,0.068,,,,,,,,,,,,
,,,,,,0.334,0.319,0.334,0.284,0.491,0.077,0.491,0.069,,,,,,,,,,,,
,,,,,,0.335,0.328,0.335,0.281,0.491,0.068,0.491,0.081,,,,,,,,,,,,
,,,,,,0.335,0.315,0.335,0.282,0.492,0.072,0.492,0.066,,,,,,,,,,,,
,,,,,,0.335,0.316,0.335,0.276,0.492,0.083,0.492,0.078,,,,,,,,,,,,
,,,,,,0.335,0.321,0.335,0.273,0.493,0.068,0.493,0.075,,,,,,,,,,,,
,,,,,,0.336,0.31,0.336,0.272,0.493,0.075,0.493,0.075,,,,,,,,,,,,
,,,,,,0.336,0.307,0.336,0.265,0.493,0.077,0.493,0.068,,,,,,,,,,,,
,,,,,,0.336,0.304,0.336,0.253,0.494,0.063,0.494,0.084,,,,,,,,,,,,
,,,,,,0.336,0.302,0.336,0.253,0.494,0.077,0.494,0.084,,,,,,,,,,,,
,,,,,,0.337,0.302,0.337,0.242,0.494,0.069,0.494,0.08,,,,,,,,,,,,
,,,,,,0.337,0.288,0.337,0.242,0.495,0.069,0.495,0.077,,,,,,,,,,,,
,,,,,,0.337,0.288,0.337,0.23,0.495,0.081,0.495,0.075,,,,,,,,,,,,
,,,,,,0.337,0.279,0.337,0.227,0.496,0.083,0.496,0.088,,,,,,,,,,,,
,,,,,,0.338,0.275,0.338,0.218,0.496,0.071,0.496,0.075,,,,,,,,,,,,
,,,,,,0.338,0.268,0.338,0.224,0.496,0.091,0.496,0.077,,,,,,,,,,,,
,,,,,,0.338,0.259,0.338,0.204,0.497,0.075,0.497,0.086,,,,,,,,,,,,
,,,,,,0.338,0.255,0.338,0.201,0.497,0.083,0.497,0.069,,,,,,,,,,,,
,,,,,,0.339,0.242,0.339,0.198,0.497,0.086,0.497,0.089,,,,,,,,,,,,
