E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.085,1.448,0.085,1.459,0.085,1.448,0.084,-0.313,0.084,-0.324,0.076,-0.632,0.076,-0.629,0.085,2.184,0.085,2.172,0.085,2.868,0.085,2.844,0.085,4.047,0.085,4.186
0.086,1.449,0.086,1.442,0.086,1.451,0.084,-0.319,0.084,-0.33,0.075,-0.615,0.075,-0.607,0.086,2.178,0.086,2.169,0.086,2.862,0.086,2.854,0.086,4.186,0.086,4.317
0.087,1.449,0.087,1.445,0.087,1.459,0.083,-0.314,0.083,-0.319,0.075,-0.626,0.075,-0.638,0.087,2.183,0.087,2.17,0.087,2.877,0.087,2.87,0.087,4.34,0.087,4.455
0.088,1.448,0.088,1.443,0.088,1.448,0.083,-0.337,0.083,-0.347,0.074,-0.633,0.074,-0.62,0.088,2.186,0.088,2.163,0.088,2.885,0.088,2.865,0.088,4.468,0.088,4.572
0.089,1.446,0.089,1.446,0.089,1.448,0.083,-0.322,0.083,-0.334,0.074,-0.623,0.074,-0.636,0.089,2.172,0.089,2.161,0.089,2.882,0.089,2.874,0.089,4.593,0.089,4.681
0.09,1.448,0.09,1.443,0.09,1.445,0.083,-0.324,0.083,-0.32,0.074,-0.612,0.074,-0.62,0.09,2.169,0.09,2.161,0.09,2.882,0.09,2.868,0.09,4.679,0.09,4.779
0.091,1.454,0.091,1.454,0.091,1.453,0.082,-0.317,0.082,-0.311,0.073,-0.615,0.073,-0.626,0.091,2.173,0.091,2.166,0.091,2.893,0.091,2.883,0.091,4.799,0.091,4.882
0.092,1.451,0.092,1.443,0.092,1.446,0.082,-0.327,0.082,-0.322,0.073,-0.629,0.073,-0.632,0.092,2.166,0.092,2.158,0.092,2.886,0.092,2.871,0.092,4.882,0.092,4.954
0.093,1.451,0.093,1.449,0.093,1.446,0.082,-0.314,0.082,-0.316,0.073,-0.61,0.073,-0.624,0.093,2.166,0.093,2.161,0.093,2.888,0.093,2.876,0.093,4.957,0.093,5.023
0.094,1.442,0.094,1.437,0.094,1.44,0.082,-0.322,0.082,-0.327,0.072,-0.63,0.072,-0.609,0.094,2.163,0.094,2.155,0.094,2.886,0.094,2.873,0.094,5.015,0.094,5.067
0.095,1.451,0.095,1.442,0.095,1.443,0.081,-0.31,0.081,-0.317,0.072,-0.607,0.072,-0.633,0.095,2.169,0.095,2.155,0.095,2.89,0.095,2.871,0.095,5.089,0.095,5.144
0.096,1.449,0.096,1.439,0.096,1.437,0.081,-0.311,0.081,-0.311,0.071,-0.607,0.071,-0.616,0.096,2.158,0.096,2.149,0.096,2.885,0.096,2.868,0.096,5.141,0.096,5.185
0.097,1.445,0.097,1.456,0.097,1.443,0.081,-0.322,0.081,-0.316,0.071,-0.641,0.071,-0.646,0.097,2.153,0.097,2.15,0.097,2.883,0.097,2.868,0.097,5.199,0.097,5.235
0.098,1.443,0.098,1.431,0.098,1.436,0.081,-0.314,0.081,-0.324,0.071,-0.621,0.071,-0.616,0.098,2.15,0.098,2.144,0.098,2.876,0.098,2.867,0.098,5.228,0.098,5.27
0.099,1.456,0.099,1.448,0.099,1.449,0.08,-0.32,0.08,-0.316,0.07,-0.607,0.07,-0.635,0.099,2.169,0.099,2.163,0.099,2.894,0.099,2.882,0.099,5.305,0.099,5.336
0.1,1.445,0.1,1.44,0.1,1.44,0.08,-0.325,0.08,-0.33,0.07,-0.612,0.07,-0.615,0.1,2.153,0.1,2.15,0.1,2.882,0.1,2.86,0.1,5.337,0.1,5.357
0.101,1.448,0.101,1.439,0.101,1.44,0.08,-0.317,0.08,-0.316,0.07,-0.621,0.07,-0.616,0.101,2.15,0.101,2.138,0.101,2.87,0.101,2.863,0.101,5.365,0.101,5.389
0.102,1.443,0.102,1.434,0.102,1.428,0.08,-0.32,0.08,-0.327,0.069,-0.612,0.069,-0.63,0.102,2.138,0.102,2.129,0.102,2.857,0.102,2.851,0.102,5.385,0.102,5.397
0.103,1.448,0.103,1.439,0.103,1.442,0.079,-0.324,0.079,-0.314,0.069,-0.624,0.069,-0.618,0.103,2.144,0.103,2.14,0.103,2.863,0.103,2.856,0.103,5.414,0.103,5.431
0.104,1.442,0.104,1.429,0.104,1.431,0.079,-0.328,0.079,-0.339,0.069,-0.615,0.069,-0.62,0.104,2.13,0.104,2.123,0.104,2.85,0.104,2.845,0.104,5.429,0.104,5.437
0.105,1.443,0.105,1.426,0.105,1.433,0.079,-0.317,0.079,-0.322,0.068,-0.624,0.068,-0.647,0.105,2.126,0.105,2.126,0.105,2.845,0.105,2.84,0.105,5.448,0.105,5.454
0.106,1.436,0.106,1.419,0.106,1.426,0.079,-0.324,0.079,-0.322,0.068,-0.624,0.068,-0.623,0.106,2.118,0.106,2.117,0.106,2.84,0.106,2.83,0.106,5.454,0.106,5.466
0.107,1.442,0.107,1.431,0.107,1.433,0.078,-0.325,0.078,-0.33,0.067,-0.62,0.067,-0.62,0.107,2.137,0.107,2.121,0.107,2.854,0.107,2.844,0.107,5.485,0.107,5.492
0.108,1.439,0.108,1.431,0.108,1.431,0.078,-0.328,0.078,-0.328,0.067,-0.656,0.067,-0.669,0.108,2.118,0.108,2.115,0.108,2.844,0.108,2.839,0.108,5.491,0.108,5.495
0.109,1.437,0.109,1.429,0.109,1.423,0.078,-0.319,0.078,-0.327,0.067,-0.643,0.067,-0.638,0.109,2.118,0.109,2.109,0.109,2.83,0.109,2.828,0.109,5.505,0.109,5.506
0.11,1.434,0.11,1.425,0.11,1.423,0.077,-0.328,0.077,-0.328,0.066,-0.63,0.066,-0.624,0.11,2.109,0.11,2.101,0.11,2.821,0.11,2.808,0.11,5.494,0.11,5.494
0.111,1.439,0.111,1.423,0.111,1.419,0.077,-0.322,0.077,-0.32,0.066,-0.613,0.066,-0.63,0.111,2.109,0.111,2.11,0.111,2.831,0.111,2.817,0.111,5.509,0.111,5.508
0.112,1.431,0.112,1.42,0.112,1.417,0.077,-0.336,0.077,-0.333,0.066,-0.629,0.066,-0.641,0.112,2.098,0.112,2.095,0.112,2.816,0.112,2.801,0.112,5.508,0.112,5.506
0.113,1.433,0.113,1.422,0.113,1.411,0.077,-0.32,0.077,-0.317,0.065,-0.641,0.065,-0.659,0.113,2.101,0.113,2.098,0.113,2.81,0.113,2.811,0.113,5.501,0.113,5.515
0.114,1.428,0.114,1.416,0.114,1.403,0.076,-0.328,0.076,-0.331,0.065,-0.609,0.065,-0.613,0.114,2.091,0.114,2.084,0.114,2.798,0.114,2.787,0.114,5.503,0.114,5.497
0.115,1.434,0.115,1.425,0.115,1.426,0.076,-0.322,0.076,-0.324,0.064,-0.623,0.064,-0.62,0.115,2.106,0.115,2.098,0.115,2.814,0.115,2.808,0.115,5.523,0.115,5.531
0.116,1.425,0.116,1.417,0.116,1.417,0.076,-0.319,0.076,-0.339,0.064,-0.612,0.064,-0.626,0.116,2.094,0.116,2.083,0.116,2.802,0.116,2.808,0.116,5.518,0.116,5.528
