E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.085,-0.264,0.085,-0.253,0.07,-0.509,0.07,-0.514,0.079,1.172,0.079,1.175,0.079,1.765,0.079,1.744,0.138,2.313,0.138,2.31,0.138,4.578,0.138,4.567
0.085,-0.288,0.085,-0.285,0.07,-0.511,0.07,-0.523,0.08,1.172,0.08,1.17,0.08,1.759,0.08,1.753,0.14,2.298,0.14,2.296,0.14,4.549,0.14,4.538
0.085,-0.273,0.085,-0.273,0.07,-0.517,0.07,-0.514,0.081,1.172,0.081,1.173,0.081,1.77,0.081,1.755,0.142,2.29,0.142,2.288,0.142,4.54,0.142,4.529
0.085,-0.259,0.085,-0.268,0.069,-0.517,0.069,-0.526,0.082,1.172,0.082,1.184,0.082,1.77,0.082,1.758,0.144,2.273,0.144,2.279,0.144,4.511,0.144,4.508
0.084,-0.271,0.084,-0.268,0.069,-0.512,0.069,-0.521,0.083,1.198,0.083,1.193,0.083,1.799,0.083,1.787,0.146,2.29,0.146,2.287,0.146,4.521,0.146,4.512
0.084,-0.291,0.084,-0.285,0.068,-0.517,0.068,-0.521,0.084,1.189,0.084,1.192,0.084,1.784,0.084,1.778,0.148,2.268,0.148,2.268,0.148,4.494,0.148,4.482
0.084,-0.265,0.084,-0.273,0.068,-0.511,0.068,-0.526,0.085,1.193,0.085,1.198,0.085,1.791,0.085,1.776,0.15,2.261,0.15,2.255,0.15,4.478,0.15,4.472
0.084,-0.282,0.084,-0.278,0.067,-0.543,0.067,-0.554,0.086,1.183,0.086,1.187,0.086,1.785,0.086,1.772,0.152,2.25,0.152,2.248,0.152,4.454,0.152,4.446
0.083,-0.268,0.083,-0.261,0.067,-0.532,0.067,-0.532,0.087,1.187,0.087,1.189,0.087,1.793,0.087,1.779,0.154,2.25,0.154,2.247,0.154,4.452,0.154,4.442
0.083,-0.297,0.083,-0.316,0.066,-0.521,0.066,-0.523,0.088,1.187,0.088,1.187,0.088,1.795,0.088,1.77,0.156,2.232,0.156,2.227,0.156,4.425,0.156,4.408
0.083,-0.271,0.083,-0.281,0.066,-0.52,0.066,-0.521,0.089,1.19,0.089,1.19,0.089,1.793,0.089,1.779,0.158,2.225,0.158,2.232,0.158,4.408,0.158,4.397
0.083,-0.284,0.083,-0.273,0.065,-0.518,0.065,-0.524,0.09,1.186,0.09,1.19,0.09,1.779,0.09,1.768,0.16,2.213,0.16,2.212,0.16,4.385,0.16,4.371
0.082,-0.274,0.082,-0.27,0.065,-0.515,0.065,-0.52,0.091,1.204,0.091,1.204,0.091,1.796,0.091,1.791,0.162,2.222,0.162,2.23,0.162,4.399,0.162,4.382
0.082,-0.282,0.082,-0.285,0.064,-0.524,0.064,-0.518,0.092,1.195,0.092,1.201,0.092,1.791,0.092,1.781,0.164,2.201,0.164,2.202,0.164,4.36,0.164,4.348
0.082,-0.287,0.082,-0.279,0.064,-0.52,0.064,-0.523,0.093,1.204,0.093,1.199,0.093,1.787,0.093,1.785,0.166,2.196,0.166,2.196,0.166,4.344,0.166,4.325
0.082,-0.281,0.082,-0.27,0.063,-0.532,0.063,-0.535,0.094,1.193,0.094,1.193,0.094,1.787,0.094,1.768,0.168,2.183,0.168,2.178,0.168,4.313,0.168,4.299
0.081,-0.268,0.081,-0.271,0.063,-0.517,0.063,-0.517,0.095,1.206,0.095,1.206,0.095,1.791,0.095,1.784,0.17,2.184,0.17,2.183,0.17,4.31,0.17,4.293
0.081,-0.264,0.081,-0.268,0.062,-0.511,0.062,-0.512,0.096,1.201,0.096,1.201,0.096,1.787,0.096,1.778,0.172,2.17,0.172,2.169,0.172,4.282,0.172,4.271
0.081,-0.284,0.081,-0.279,0.061,-0.518,0.061,-0.527,0.097,1.203,0.097,1.199,0.097,1.784,0.097,1.773,0.174,2.169,0.174,2.17,0.174,4.27,0.174,4.259
0.081,-0.276,0.081,-0.276,0.061,-0.531,0.061,-0.517,0.098,1.203,0.098,1.195,0.098,1.787,0.098,1.781,0.176,2.156,0.176,2.156,0.176,4.241,0.176,4.238
0.08,-0.271,0.08,-0.276,0.06,-0.523,0.06,-0.524,0.099,1.218,0.099,1.218,0.099,1.802,0.099,1.791,0.178,2.169,0.178,2.17,0.178,4.248,0.178,4.244
0.08,-0.281,0.08,-0.287,0.06,-0.402,0.06,-0.409,0.1,1.206,0.1,1.203,0.1,1.79,0.1,1.784,0.18,2.16,0.18,2.163,0.18,4.23,0.18,4.222
0.08,-0.267,0.08,-0.279,0.06,-0.135,0.06,-0.139,0.101,1.204,0.101,1.21,0.101,1.785,0.101,1.778,0.182,2.161,0.182,2.16,0.182,4.219,0.182,4.215
0.08,-0.278,0.08,-0.268,0.061,0.075,0.061,0.075,0.102,1.203,0.102,1.196,0.102,1.77,0.102,1.767,0.184,2.164,0.184,2.16,0.184,4.204,0.184,4.195
0.079,-0.27,0.079,-0.276,0.061,0.218,0.061,0.21,0.103,1.212,0.103,1.216,0.103,1.788,0.103,1.779,0.186,2.176,0.186,2.178,0.186,4.21,0.186,4.209
0.079,-0.288,0.079,-0.299,0.062,0.313,0.062,0.31,0.104,1.206,0.104,1.207,0.104,1.779,0.104,1.775,0.188,2.176,0.188,2.175,0.188,4.195,0.188,4.196
0.079,-0.279,0.079,-0.276,0.063,0.364,0.063,0.351,0.105,1.209,0.105,1.212,0.105,1.775,0.105,1.772,0.19,2.192,0.19,2.193,0.19,4.202,0.19,4.212
0.079,-0.278,0.079,-0.279,0.063,0.403,0.063,0.399,0.106,1.204,0.106,1.207,0.106,1.775,0.106,1.77,0.192,2.204,0.192,2.202,0.192,4.207,0.192,4.205
0.078,-0.271,0.078,-0.268,0.064,0.433,0.064,0.417,0.107,1.219,0.107,1.215,0.107,1.787,0.107,1.775,0.194,2.252,0.194,2.248,0.194,4.255,0.194,4.255
0.078,-0.288,0.078,-0.273,0.064,0.436,0.064,0.433,0.108,1.204,0.108,1.207,0.108,1.772,0.108,1.768,0.196,2.256,0.196,2.255,0.196,4.255,0.196,4.259
0.078,-0.274,0.078,-0.265,0.065,0.442,0.065,0.433,0.109,1.21,0.109,1.209,0.109,1.779,0.109,1.768,0.198,2.273,0.198,2.267,0.198,4.281,0.198,4.29
0.077,-0.276,0.077,-0.281,0.065,0.46,0.065,0.443,0.11,1.203,0.11,1.201,0.11,1.77,0.11,1.764,0.2,2.281,0.2,2.27,0.2,4.307,0.2,4.313
0.077,-0.273,0.077,-0.27,0.066,0.453,0.066,0.443,0.111,1.215,0.111,1.207,0.111,1.775,0.111,1.77,0.202,2.287,0.202,2.265,0.202,4.359,0.202,4.363
0.077,-0.296,0.077,-0.299,0.066,0.462,0.066,0.456,0.112,1.21,0.112,1.204,0.112,1.767,0.112,1.759,0.204,2.255,0.204,2.224,0.204,4.371,0.204,4.385
0.077,-0.279,0.077,-0.271,0.067,0.46,0.067,0.451,0.113,1.206,0.113,1.209,0.113,1.772,0.113,1.764,0.206,2.213,0.206,2.181,0.206,4.408,0.206,4.414
0.076,-0.282,0.076,-0.273,0.067,0.483,0.067,0.483,0.114,1.203,0.114,1.21,0.114,1.752,0.114,1.758,0.208,2.156,0.208,2.12,0.208,4.411,0.208,4.413
0.076,-0.281,0.076,-0.284,0.068,0.466,0.068,0.459,0.115,1.224,0.115,1.215,0.115,1.785,0.115,1.772,0.21,2.109,0.21,2.068,0.21,4.42,0.21,4.403
0.076,-0.285,0.076,-0.287,0.068,0.471,0.068,0.463,0.116,1.216,0.116,1.213,0.116,1.768,0.116,1.765,0.212,2.025,0.212,1.989,0.212,4.35,0.212,4.334
0.076,-0.274,0.076,-0.27,0.069,0.462,0.069,0.462,0.117,1.21,0.117,1.21,0.117,1.762,0.117,1.761,0.214,1.965,0.214,1.923,0.214,4.274,0.214,4.244
0.075,-0.282,0.075,-0.276,0.069,0.471,0.069,0.469,0.118,1.21,0.118,1.206,0.118,1.762,0.118,1.747,0.216,1.894,0.216,1.859,0.216,4.167,0.216,4.126
0.075,-0.276,0.075,-0.279,0.07,0.468,0.07,0.468,0.119,1.213,0.119,1.213,0.119,1.762,0.119,1.759,0.218,1.839,0.218,1.807,0.218,4.067,0.218,4.014
0.075,-0.304,0.075,-0.299,0.07,0.466,0.07,0.471,0.12,1.21,0.12,1.207,0.12,1.75,0.12,1.744,0.22,1.77,0.22,1.742,0.22,3.939,0.22,3.885
0.075,-0.276,0.075,-0.279,0.07,0.469,0.07,0.459,0.121,1.215,0.121,1.206,0.121,1.752,0.121,1.744,0.222,1.724,0.222,1.693,0.222,3.817,0.222,3.761
0.074,-0.274,0.074,-0.284,0.071,0.482,0.071,0.468,0.122,1.206,0.122,1.203,0.122,1.747,0.122,1.738,0.224,1.666,0.224,1.633,0.224,3.692,0.224,3.632
0.074,-0.273,0.074,-0.273,0.071,0.479,0.071,0.471,0.123,1.216,0.123,1.213,0.123,1.753,0.123,1.747,0.226,1.629,0.226,1.597,0.226,3.598,0.226,3.537
0.074,-0.284,0.074,-0.282,0.072,0.471,0.072,0.466,0.124,1.207,0.124,1.209,0.124,1.742,0.124,1.744,0.228,1.569,0.228,1.537,0.228,3.469,0.228,3.409
0.074,-0.27,0.074,-0.273,0.072,0.465,0.072,0.462,0.125,1.206,0.125,1.209,0.125,1.744,0.125,1.738,0.23,1.52,0.23,1.5,0.23,3.359,0.23,3.305
0.073,-0.274,0.073,-0.279,0.073,0.479,0.073,0.471,0.126,1.209,0.126,1.203,0.126,1.733,0.126,1.736,0.232,1.472,0.232,1.449,0.232,3.248,0.232,3.193
0.073,-0.276,0.073,-0.279,0.073,0.469,0.073,0.466,0.127,1.213,0.127,1.203,0.127,1.738,0.127,1.736,0.234,1.433,0.234,1.405,0.234,3.159,0.234,3.101
0.073,-0.29,0.073,-0.287,0.074,0.476,0.074,0.462,0.128,1.209,0.128,1.204,0.128,1.736,0.128,1.73,0.236,1.387,0.236,1.364,0.236,3.057,0.236,2.994
0.073,-0.279,0.073,-0.276,0.074,0.466,0.074,0.465,0.129,1.212,0.129,1.207,0.129,1.735,0.129,1.729,0.238,1.345,0.238,1.318,0.238,2.963,0.238,2.911
0.072,-0.281,0.072,-0.282,0.075,0.479,0.075,0.48,0.13,1.209,0.13,1.203,0.13,1.724,0.13,1.722,0.24,1.295,0.24,1.273,0.24,2.87,0.24,2.814
0.072,-0.273,0.072,-0.262,0.075,0.485,0.075,0.468,0.131,1.226,0.131,1.224,0.131,1.75,0.131,1.744,0.242,1.262,0.242,1.233,0.242,2.793,0.242,2.742
0.072,-0.287,0.072,-0.296,0.076,0.474,0.076,0.465,0.132,1.209,0.132,1.21,0.132,1.729,0.132,1.724,0.244,1.207,0.244,1.19,0.244,2.698,0.244,2.646
0.072,-0.279,0.072,-0.291,0.076,0.471,0.076,0.453,0.133,1.213,0.133,1.203,0.133,1.733,0.133,1.725,0.246,1.169,0.246,1.147,0.246,2.614,0.246,2.561
0.071,-0.287,0.071,-0.273,0.077,0.476,0.077,0.482,0.134,1.206,0.134,1.203,0.134,1.719,0.134,1.715,0.248,1.117,0.248,1.101,0.248,2.523,0.248,2.475
0.071,-0.285,0.071,-0.271,0.077,0.48,0.077,0.471,0.135,1.213,0.135,1.207,0.135,1.733,0.135,1.718,0.25,1.078,0.25,1.06,0.25,2.446,0.25,2.4
